阿罗汉,a'luo'han
聋盲,long'mang
龙天佛刹,long'tian'fo'sha
楼阁,lou'ge
楼观栏楯,lou'guan'lan'dun
鲁扈抵突,lu'hu'di'tu
论法无厌,lun'fa'wu'yan
轮回诸趣众生类,lun'hui'zhu'qu'zhong'sheng'lei
轮王欢喜,lun'wang'huan'xi
罗覆其上,luo'fu'qi'shang
玛瑙树,ma'nao'shu
玛瑙为果,ma'nao'wei'guo
满十由旬,man'shi'you'xun
满足无量大愿,man'zu'wu'liang'da'yuan
满足愿故,man'zu'yuan'gu
满足诸妙愿,man'zu'zhu'miao'yuan
没深四指,mei'shen'si'zhi
每于食时,mei'yu'shi'shi
美玉树,mei'yu'shu
美玉为华,mei'yu'wei'hua
蒙冥抵突,meng'ming'di'tu
靡不欢喜,mi'bu'huan'xi
靡不蒙化,mi'bu'meng'hua
弥覆水上,mi'fu'shui'shang
弥勒白言,mi'le'bai'yan
弥勒当知,mi'le'dang'zhi
弥勒菩萨,mi'le'pu'sa
弥勒菩萨白佛言,mi'le'pu'sa'bai'fo'yan
弥勒菩萨合掌白言,mi'le'pu'sa'he'zhang'bai'yan
迷于嗔恚,mi'yu'chen'hui
面貌形状宁可类乎,mian'mao'xing'zhuang'ning'ke'lei'hu
面西合掌,mian'xi'he'zhang
妙饰奇珍,miao'shi'qi'zhen
妙相悉圆满,miao'xiang'xi'yuan'man
灭诸烦恼暗,mie'zhu'fan'nao'an
愍有情,min'you'qing
明好快乐,ming'hao'kuai'le
明济众厄难,ming'ji'zhong'e'nan
明了,ming'liao
明了通达,ming'liao'tong'da
明妙无比,ming'miao'wu'bi
名世间自在王如来,ming'shi'jian'zi'zai'wang'ru'lai
名数,ming'shu
名为极乐,ming'wei'ji'le
明现照耀,ming'xian'zhao'yao
明信佛智,ming'xin'fo'zhi
明信诸佛无上智慧,ming'xin'zhu'fo'wu'shang'zhi'hui
明行足,ming'xing'zu
明曜日月,ming'yao'ri'yue
明耀显赫,ming'yao'xian'he
明照世间,ming'zhao'shi'jian
命终不复更三恶道,ming'zhong'bu'fu'geng'san'e'dao
命终即化男子,ming'zhong'ji'hua'nan'zi
命终皆得解脱,ming'zhong'jie'de'jie'tuo
命终弃捐,ming'zhong'qi'juan
莫不安乐,mo'bu'an'le
莫不代之欢喜,mo'bu'dai'zhi'huan'xi
莫不欢喜,mo'bu'huan'xi
莫不解脱,mo'bu'jie'tuo
莫不休止,mo'bu'xiu'zhi
莫不致敬,mo'bu'zhi'jing
莫令众生沦堕五趣,mo'ling'zhong'sheng'lun'duo'wu'qu
魔恼之名,mo'nao'zhi'ming
莫谁随者,mo'shui'sui'zhe
莫相违戾,mo'xiang'wei'li
那罗延身愿,na'luo'yan'shen'yuan
南无,na'mo
南无阿弥陀三藐三佛陀,na'mo'a'mi'tuo'san'miao'san'fo'tuo
乃至,nai'zhi
乃至百千由旬,nai'zhi'bai'qian'you'xun
乃至梵王,nai'zhi'fan'wang
乃至获得一念净心,nai'zhi'huo'de'yi'nian'jing'xin
乃至能发一念净信,nai'zhi'neng'fa'yi'nian'jing'xin
乃至七宝,nai'zhi'qi'bao
乃至色界诸天悉皆得闻,nai'zhi'se'jie'zhu'tian'xi'jie'de'wen
乃至胜智,nai'zhi'sheng'zhi
乃至十念,nai'zhi'shi'nian
乃至万亿,nai'zhi'wan'yi
乃至无上菩提,nai'zhi'wu'shang'pu'ti
乃至无上正等菩提,nai'zhi'wu'shang'zheng'deng'pu'ti
乃至一日一夜不断绝者,nai'zhi'yi'ri'yi'ye'bu'duan'jue'zhe
乃至正法灭时,nai'zhi'zheng'fa'mie'shi
乃作佛,nai'zuo'fo
难得诚实,nan'de'cheng'shi
难得解脱,nan'de'jie'tuo
难得难闻,nan'de'nan'wen
难可降化,nan'ke'jiang'hua
难可具尽,nan'ke'ju'jin
男女,nan'nv
男女眷属欲相救免,nan'nv'juan'shu'yu'xiang'jiu'mian
南西北方,nan'xi'bei'fang
南西北方恒沙世界,nan'xi'bei'fang'heng'sha'shi'jie
南西北四维,nan'xi'bei'si'wei
难信如来微妙法,nan'xin'ru'lai'wei'miao'fa
难值难见,nan'zhi'nan'jian
难中之难,nan'zhong'zhi'nan
内独驶急,nei'du'shi'ji
内外明洁,nei'wai'ming'jie
内心清净绝尘劳,nei'xin'qing'jing'jue'chen'lao
能得如是广大法门,neng'de'ru'shi'guang'da'fa'men
能救一切诸世间,neng'jiu'yi'qie'zhu'shi'jian
能令无量众生,neng'ling'wu'liang'zhong'sheng
能生佛法广大异门,neng'sheng'fo'fa'guang'da'yi'men
能生一念喜爱之心,neng'sheng'yi'nian'xi'ai'zhi'xin
能说法人,neng'shuo'fa'ren
能问如是微妙之义,neng'wen'ru'shi'wei'miao'zhi'yi
能于佛刹,neng'yu'fo'sha
能于念顷,neng'yu'nian'qing
能于是法,neng'yu'shi'fa
能于掌中持一切世界,neng'yu'zhang'zhong'chi'yi'qie'shi'jie
泥犁,ni'li
念道之自然,nian'dao'zhi'zi'ran
年寿旋尽,nian'shou'xuan'jin
念树功德,nian'shu'gong'de
宁可得否,ning'ke'de'fou
宁为增减,ning'wei'zeng'jian
努力修善,nu'li'xiu'shan
努力自求之,nu'li'zi'qiu'zhi
朋友,peng'you
朋友无信,peng'you'wu'xin
譬如,pi'ru
譬如大海,pi'ru'da'hai
譬如大海一人斗量,pi'ru'da'hai'yi'ren'dou'liang
譬如大火,pi'ru'da'huo
譬如巨海,pi'ru'ju'hai
譬如盲人恒处暗,pi'ru'mang'ren'heng'chu'an
譬如日出,pi'ru'ri'chu
譬如世法牢狱,pi'ru'shi'fa'lao'yu
譬如世间贫苦乞人,pi'ru'shi'jian'pin'ku'qi'ren
譬如怨家,pi'ru'yuan'jia
譬如转轮圣王,pi'ru'zhuan'lun'sheng'wang
譬善幻师,pi'shan'huan'shi
辟支佛,pi'zhi'fo
偏袒右肩,pian'tan'you'jian
飘华成聚,piao'hua'cheng'ju
贫富,pin'fu
贫富同然,pin'fu'tong'ran
破痴暗,po'chi'an
破烦恼城,po'fan'nao'cheng
破家亡身,po'jia'wang'shen
破邪执故,po'xie'zhi'gu
普遍智,pu'bian'zhi
普等三昧,pu'deng'san'mei
普等三昧愿,pu'deng'san'mei'yuan
普济诸穷苦,pu'ji'zhu'qiong'ku
普念度一切,pu'nian'du'yi'qie
菩萨,pu'sa
菩萨光明照百由旬,pu'sa'guang'ming'zhao'bai'you'xun
菩萨见此光,pu'sa'jian'ci'guang
菩萨戒弟子,pu'sa'jie'di'zi
菩萨摩诃萨,pu'sa'mo'he'sa
菩萨声闻,pu'sa'sheng'wen
菩萨往生第四十二,pu'sa'wang'sheng'di'si'shi'er
菩萨围绕恭敬,pu'sa'wei'rao'gong'jing
菩萨兴至愿,pu'sa'xing'zhi'yuan
菩萨修持第三十,pu'sa'xiu'chi'di'san'shi
普使众生随类见,pu'shi'zhong'sheng'sui'lei'jian
菩提道场第十五,pu'ti'dao'chang'di'shi'wu
菩提高广,pu'ti'gao'guang
普为十方说微妙法,pu'wei'shi'fang'shuo'wei'miao'fa
普为一切天人之师,pu'wei'yi'qie'tian'ren'zhi'shi
普照三千大千世界,pu'zhao'san'qian'da'qian'shi'jie
普照十方,pu'zhao'shi'fang
普照十方刹,pu'zhao'shi'fang'sha
普照十方一切世界,pu'zhao'shi'fang'yi'qie'shi'jie
普照一切诸佛世界,pu'zhao'yi'qie'zhu'fo'shi'jie
七百九十亿大菩萨众,qi'bai'jiu'shi'yi'da'pu'sa'zhong
七宝钵器自然在前,qi'bao'bo'qi'zi'ran'zai'qian
七宝城中,qi'bao'cheng'zhong
其本周围五千由旬,qi'ben'zhou'wei'wu'qian'you'xun
七不两舌,qi'bu'liang'she
其第十二佛名无上华,qi'di'shi'er'fo'ming'wu'shang'hua
其第十三佛名曰无畏,qi'di'shi'san'fo'ming'yue'wu'wei
其二者,qi'er'zhe
起发无上殊胜之愿,qi'fa'wu'shang'shu'sheng'zhi'yuan
其佛本愿力,qi'fo'ben'yuan'li
其佛国土,qi'fo'guo'tu
其国不逆违,qi'guo'bu'ni'wei
弃国捐王,qi'guo'juan'wang
其国众生,qi'guo'zhong'sheng
其号云何,qi'hao'yun'he
其华光明,qi'hua'guang'ming
其华自没,qi'hua'zi'mei
七觉圣道,qi'jue'sheng'dao
起立塔像,qi'li'ta'xiang
奇妙珍异,qi'miao'zhen'yi
其名曰,qi'ming'yue
其人,qi'ren
其人临终,qi'ren'lin'zhong
其三者,qi'san'zhe
其上辈者,qi'shang'bei'zhe
其声流布,qi'sheng'liu'bu
稽首礼足,qi'shou'li'zu
其数几何,qi'shu'ji'he
其水一一随众生意,qi'shui'yi'yi'sui'zhong'sheng'yi
其四天王天,qi'si'tian'wang'tian
其四者,qi'si'zhe
其所散华,qi'suo'san'hua
其所言说,qi'suo'yan'shuo
其胎生者,qi'tai'sheng'zhe
弃位出家,qi'wei'chu'jia
其五者,qi'wu'zhe
其下辈者,qi'xia'bei'zhe
其香普熏十方世界,qi'xiang'pu'xun'shi'fang'shi'jie
其香普熏无量世界,qi'xiang'pu'xun'wu'liang'shi'jie
其心洁白,qi'xin'jie'bai
其心清净,qi'xin'qing'jing
其心正直,qi'xin'zheng'zhi
其一者,qi'yi'zhe
其有闻者,qi'you'wen'zhe
其有至心愿生彼国,qi'you'zhi'xin'yuan'sheng'bi'guo
其有众生,qi'you'zhong'sheng
其有尊贵,qi'you'zun'gui
绮语,qi'yu
其余诸树,qi'yu'zhu'shu
其愿闻者,qi'yuan'wen'zhe
其智宏深,qi'zhi'hong'shen
其智难量,qi'zhi'nan'liang
其中辈者,qi'zhong'bei'zhe
其中生者,qi'zhong'sheng'zhe
其中万物沉没不现,qi'zhong'wan'wu'chen'mo'bu'xian
其诸众生,qi'zhu'zhong'sheng
妻子,qi'zi
前后往来,qian'hou'wang'lai
前所散华终不复落,qian'suo'san'hua'zhong'bu'fu'luo
千万分中不及一分,qian'wan'fen'zhong'bu'ji'yi'fen
千亿万倍,qian'yi'wan'bei
强不凌弱,qiang'bu'ling'ruo
强夺迫胁,qiang'duo'po'xie
强者伏弱,qiang'zhe'fu'ruo
且自见之,qie'zi'jian'zhi
勤而行之,qin'er'xing'zhi
琴瑟,qin'se
勤身营务,qin'shen'ying'wu
禽兽,qin'shou
亲属,qin'shu
勤行求道德,qin'xing'qiu'dao'de
勤修坚持第四十六,qin'xiu'jian'chi'di'si'shi'liu
勤修无懈倦,qin'xiu'wu'xie'juan
侵易于人,qin'yi'yu'ren
清畅哀亮,qing'chang'ai'liang
清风时发,qing'feng'shi'fa
清净安隐,qing'jing'an'yin
清净佛国,qing'jing'fo'guo
清净佛土,qing'jing'fo'tu
清净光,qing'jing'guang
清净欢喜,qing'jing'huan'xi
清净平正,qing'jing'ping'zheng
清净如水,qing'jing'ru'shui
清净若此,qing'jing'ruo'ci
清净无染,qing'jing'wu'ran
清净之行,qing'jing'zhi'xing
清净庄严,qing'jing'zhuang'yan
清净庄严不,qing'jing'zhuang'yan'bu
轻慢师长,qing'man'shi'zhang
青色青光,qing'se'qing'guang
清信女五百人,qing'xin'nv'wu'bai'ren
清信士七千人,qing'xin'shi'qi'qian'ren
情执深重,qing'zhi'shen'zhong
请转法轮,qing'zhuan'fa'lun
穷劫不尽,qiong'jie'bu'jin
茕茕忪忪,qiong'qiong'song'song
穷微极妙,qiong'wei'ji'miao
求出轮回,qiu'chu'lun'hui
求道不休,qiu'dao'bu'xiu
求道和正,qiu'dao'he'zheng
求道所愿,qiu'dao'suo'yuan
求法不倦,qiu'fa'bu'juan
求离彼处,qiu'li'bi'chu
丘陵坑坎,qiu'ling'keng'kan
求人天果,qiu'ren'tian'guo
求生彼刹,qiu'sheng'bi'sha
求生净刹,qiu'sheng'jing'sha
求心所愿,qiu'xin'suo'yuan
求诸近臣,qiu'zhu'jin'chen
去恶就善,qu'e'jiu'shan
趣佛菩提,qu'fo'pu'ti
去来,qu'lai
去来现在佛佛相念,qu'lai'xian'zai'fo'fo'xiang'nian
去无所去,qu'wu'suo'qu
去五痛,qu'wu'tong
取相分别,qu'xiang'fen'bie
去阎浮提,qu'yan'fu'ti
取愿作佛,qu'yuan'zuo'fo
泉池,quan'chi
泉池功德第十七,quan'chi'gong'de'di'shi'qi
泉池交流,quan'chi'jiao'liu
劝令听闻,quan'ling'ting'wen
劝谕策进,quan'yu'ce'jin
劝谕策进第三十三,quan'yu'ce'jin'di'san'shi'san
却坐一面听经,que'zuo'yi'mian'ting'jing
然后乃出,ran'hou'nai'chu
然犹续念不绝,ran'you'xu'nian'bu'jue
然于五百岁中,ran'yu'wu'bai'sui'zhong
绕佛三匝,rao'fo'san'za
饶益有情,rao'yi'you'qing
仁慈博爱,ren'ci'bo'ai
人非人等,ren'fei'ren'deng
人间福报,ren'jian'fu'bao
忍力成就,ren'li'cheng'jiu
人民谄伪,ren'min'chan'wei
人能自度,ren'neng'zi'du
忍辱,ren'ru
忍辱精进,ren'ru'jing'jin
忍辱如地,ren'ru'ru'di
人身难得佛难值,ren'shen'nan'de'fo'nan'zhi
仁王佛刹,ren'wang'fo'sha
任心自恣,ren'xin'zi'zi
人有至心求道,ren'you'zhi'xin'qiu'dao
人在爱欲之中,ren'zai'ai'yu'zhi'zhong
日夜称说,ri'ye'cheng'shuo
日月,ri'yue
日月火珠皆匿曜,ri'yue'huo'zhu'jie'ni'yao
日月清明,ri'yue'qing'ming
容容虚空,rong'rong'xu'kong
荣色光曜,rong'se'guang'yao
容色微妙,rong'se'wei'miao
容颜广大,rong'yan'guang'da
柔软光洁,rou'ruan'guang'jie
肉眼简择,rou'yan'jian'ze
汝阿逸多,ru'a'yi'duo
如处一寻,ru'chu'yi'xun
如大海水,ru'da'hai'shui
如忉利天,ru'dao'li'tian
汝等得佛经语,ru'deng'de'fo'jing'yu
汝等广植德本,ru'deng'guang'zhi'de'ben
汝等能于此世,ru'deng'neng'yu'ci'shi
汝等应当安住无疑,ru'deng'ying'dang'an'zhu'wu'yi
汝等转相教诫,ru'deng'zhuan'xiang'jiao'jie
如兜罗绵,ru'dou'luo'mian
如对目前,ru'dui'mu'qian
如法修行,ru'fa'xiu'xing
入佛法藏,ru'fo'fa'cang
如佛金色身,ru'fo'jin'se'shen
如佛经法,ru'fo'jing'fa
如佛色相,ru'fo'se'xiang
如佛所说,ru'fo'suo'shuo
如佛无碍智,ru'fo'wu'ai'zhi
汝复见不,ru'fu'jian'bu
汝观彼诸菩萨摩诃萨,ru'guan'bi'zhu'pu'sa'mo'he'sa
如黄金山,ru'huang'jin'shan
汝见彼国净行之众,ru'jian'bi'guo'jing'xing'zhi'zhong
汝见极乐世界,ru'jian'ji'le'shi'jie
汝见愚痴之人,ru'jian'yu'chi'zhi'ren
汝见欲界诸天,ru'jian'yu'jie'zhu'tian
如教奉行,ru'jiao'feng'xing
如金刚杵,ru'jin'gang'chu
汝今斯问,ru'jin'si'wen
汝今所问,ru'jin'suo'wen
如净莲华,ru'jing'lian'hua
如净天眼观一寻地,ru'jing'tian'yan'guan'yi'xun'di
汝可知耶,ru'ke'zhi'ye
入空,ru'kong
如来定慧,ru'lai'ding'hui
如来功德佛自知,ru'lai'gong'de'fo'zi'zhi
如来深广智慧海,ru'lai'shen'guang'zhi'hui'hai
如来所行,ru'lai'suo'xing
如来微妙色端严,ru'lai'wei'miao'se'duan'yan
如来兴世,ru'lai'xing'shi
如来以无尽大悲,ru'lai'yi'wu'jin'da'bei
如来正觉,ru'lai'zheng'jue
如理宣说,ru'li'xuan'shuo
如毛尘水,ru'mao'chen'shui
如尼拘树,ru'ni'ju'shu
如贫得宝,ru'pin'de'bao
如贫得宝第三十七,ru'pin'de'bao'di'san'shi'qi
入其幽冥,ru'qi'you'ming
如融金聚,ru'rong'jin'ju
入三恶道,ru'san'e'dao
汝身果报不可思议,ru'shen'guo'bao'bu'ke'si'yi
入生死界,ru'sheng'si'jie
如实安住,ru'shi'an'zhu
如是不绝,ru'shi'bu'jue
如是等法,ru'shi'deng'fa
如是等类大威德者,ru'shi'deng'lei'da'wei'de'zhe
如是等诸大菩萨,ru'shi'deng'zhu'da'pu'sa
如是佛刹,ru'shi'fo'sha
如是功德说不能尽,ru'shi'gong'de'shuo'bu'neng'jin
如是功德庄严,ru'shi'gong'de'zhuang'yan
如是广大微妙法门,ru'shi'guang'da'wei'miao'fa'men
如是光明,ru'shi'guang'ming
如是六反,ru'shi'liu'fan
如是妙法幸听闻,ru'shi'miao'fa'xing'ting'wen
如是如是,ru'shi'ru'shi
如是世人,ru'shi'shi'ren
如是我闻,ru'shi'wo'wen
如是五恶,ru'shi'wu'e
如是一心求净方,ru'shi'yi'xin'qiu'jing'fang
如是愿心永不退,ru'shi'yuan'xin'yong'bu'tui
如是辗转,ru'shi'zhan'zhuan
如是之恶,ru'shi'zhi'e
如是至竟,ru'shi'zhi'jing
如是昼夜思惟,ru'shi'zhou'ye'si'wei
如是诸佛,ru'shi'zhu'fo
如是转倍,ru'shi'zhuan'bei
如说修行,ru'shuo'xiu'xing
如所修行,ru'suo'xiu'xing
如铁围山,ru'tie'wei'shan
汝为哀愍利乐诸众生故,ru'wei'ai'min'li'le'zhu'zhong'sheng'gu
汝闻,ru'wen
汝悉见不,ru'xi'jian'bu
如夜摩天,ru'ye'mo'tian
如一佛刹,ru'yi'fo'sha
汝应具说,ru'ying'ju'shuo
汝应自摄,ru'ying'zi'she
如优昙花,ru'you'tan'hua
入于火镬,ru'yu'huo'huo
汝欲生彼,ru'yu'sheng'bi
如在梦中,ru'zai'meng'zhong
如诸菩萨,ru'zhu'pu'sa
如转轮王,ru'zhuan'lun'wang
汝自当知,ru'zi'dang'zhi
汝自思惟,ru'zi'si'wei
润众生故,run'zhong'sheng'gu
若彼国土无须弥山,ruo'bi'guo'tu'wu'xu'mi'shan
若比极乐国中,ruo'bi'ji'le'guo'zhong
若彼众生,ruo'bi'zhong'sheng
若不,ruo'bu
若不尔者,ruo'bu'er'zhe
若不更以新华重散,ruo'bu'geng'yi'xin'hua'zhong'san
若不共称叹我名,ruo'bu'gong'cheng'tan'wo'ming
若不决定成等正觉,ruo'bu'jue'ding'cheng'deng'zheng'jue
若不生者,ruo'bu'sheng'zhe
若不往昔修福慧,ruo'bu'wang'xi'xiu'fu'hui
若曹当熟思计,ruo'cao'dang'shu'si'ji
若曹当知十方人民,ruo'cao'dang'zhi'shi'fang'ren'min
若曹欲见,ruo'cao'yu'jian
若曹作善,ruo'cao'zuo'shan
若此众生识其罪本,ruo'ci'zhong'sheng'shi'qi'zui'ben
若当生,ruo'dang'sheng
若多事物,ruo'duo'shi'wu
若广说者,ruo'guang'shuo'zhe
若化顶上圆光,ruo'hua'ding'shang'yuan'guang
若能,ruo'neng
若能知其量数者,ruo'neng'zhi'qi'liang'shu'zhe
若起想念,ruo'qi'xiang'nian
若闻佛号,ruo'wen'fo'hao
若闻斯经,ruo'wen'si'jing
若闻我名,ruo'wen'wo'ming
若我得闻,ruo'wo'de'wen
若现在生,ruo'xian'zai'sheng
若邪定聚,ruo'xie'ding'ju
若形貌差别,ruo'xing'mao'cha'bie
若已求,ruo'yi'qiu
若已生,ruo'yi'sheng
若以无相智慧,ruo'yi'wu'xiang'zhi'hui
若有,ruo'you
若有急难恐怖,ruo'you'ji'nan'kong'bu
若有女人,ruo'you'nv'ren
若有善男子,ruo'you'shan'nan'zi
若有宿恶,ruo'you'su'e
若有众生,ruo'you'zhong'sheng
若有众生得闻佛声,ruo'you'zhong'sheng'de'wen'fo'sheng
若有众生于此经典,ruo'you'zhong'sheng'yu'ci'jing'dian
若有众生欲生彼国,ruo'you'zhong'sheng'yu'sheng'bi'guo
若有众生住大乘者,ruo'you'zhong'sheng'zhu'da'cheng'zhe
若于来世,ruo'yu'lai'shi
若于绳墨,ruo'yu'sheng'mo
若欲食时,ruo'yu'shi'shi
若在三途极苦之处,ruo'zai'san'tu'ji'ku'zhi'chu
若诸有情当作佛,ruo'zhu'you'qing'dang'zuo'fo
洒心易行,sa'xin'yi'xing
三辈往生第二十四,san'bei'wang'sheng'di'er'shi'si
三不淫欲,san'bu'yin'yu
三恶道中,san'e'dao'zhong
散华烧香,san'hua'shao'xiang
三昧常寂,san'mei'chang'ji
三千大千世界,san'qian'da'qian'shi'jie
三千大千世界满中大火,san'qian'da'qian'shi'jie'man'zhong'da'huo
三十二相,san'shi'er'xiang
三十二相愿,san'shi'er'xiang'yuan
三十二种大丈夫相,san'shi'er'zhong'da'zhang'fu'xiang
三匝从顶入,san'za'cong'ding'ru
三者无生法忍,san'zhe'wu'sheng'fa'ren
散作供养,san'zuo'gong'yang
色界天,se'jie'tian
色力增长而无便秽,se'li'zeng'zhang'er'wu'bian'hui
色色异香,se'se'yi'xiang
色相端严,se'xiang'duan'yan
善成就故,shan'cheng'jiu'gu
善恶报应,shan'e'bao'ying
善恶变化,shan'e'bian'hua
善恶会当归之,shan'e'hui'dang'gui'zhi
善恶祸福,shan'e'huo'fu
善恶之道,shan'e'zhi'dao
善根无量,shan'gen'wu'liang
善根相续,shan'gen'xiang'xu
善好殊无比,shan'hao'shu'wu'bi
善护口业,shan'hu'kou'ye
善护身业,shan'hu'shen'ye
善护意业,shan'hu'yi'ye
善获利益,shan'huo'li'yi
善解世间无边方便,shan'jie'shi'jian'wu'bian'fang'bian
善立方便,shan'li'fang'bian
善能分别众生语言,shan'neng'fen'bie'zhong'sheng'yu'yan
善女人,shan'nv'ren
善巧决定,shan'qiao'jue'ding
善人行善,shan'ren'xing'shan
善少恶多,shan'shao'e'duo
善摄取故,shan'she'qu'gu
善逝,shan'shi
善思念之,shan'si'nian'zhi
善谈法要愿,shan'tan'fa'yao'yuan
善谈诸法秘要,shan'tan'zhu'fa'mi'yao
善修习故,shan'xiu'xi'gu
善哉善哉,shan'zai'shan'zai
善知集灭音声方便,shan'zhi'ji'mie'yin'sheng'fang'bian
上报四重恩,shang'bao'si'chong'en
尚无假设,shang'wu'jia'she
上下,shang'xia
上下亦复然,shang'xia'yi'fu'ran
上至色究竟天,shang'zhi'se'jiu'jing'tian
上至虚空,shang'zhi'xu'kong
烧烦恼薪,shao'fan'nao'xin
少欲知足,shao'yu'zhi'zu
少长,shao'zhang
舍彼轮回身,she'bi'lun'hui'shen
舍兜率,she'dou'lv
舍家弃欲而作沙门,she'jia'qi'yu'er'zuo'sha'men
舍离一切执著,she'li'yi'qie'zhi'zhuo
摄取受持,she'qu'shou'chi
设取一毛,she'qu'yi'mao
设入大火,she'ru'da'huo
摄受导引,she'shou'dao'yin
摄受殊胜佛刹,she'shou'shu'sheng'fo'sha
奢淫骄纵,she'yin'jiao'zong
舍诸爱著,she'zhu'ai'zhu
深大无量,shen'da'wu'liang
身顶皆有光明照耀,shen'ding'jie'you'guang'ming'zhao'yao
身独度脱,shen'du'du'tuo
深广无边,shen'guang'wu'bian
身光一寻,shen'guang'yi'xun
身行当专,shen'hang'dang'zhuan
身及诸根,shen'ji'zhu'gen
身口常出无量妙香,shen'kou'chang'chu'wu'liang'miao'xiang
神明计识,shen'ming'ji'shi
神明克识,shen'ming'ke'shi
深入义味,shen'ru'yi'wei
深入正慧,shen'ru'zheng'hui
身色相好,shen'se'xiang'hao
身色紫金,shen'se'zi'jin
甚深甚善,shen'shen'shen'shan
神通变化,shen'tong'bian'hua
神通第一,shen'tong'di'yi
神通华菩萨,shen'tong'hua'pu'sa
神通皆如大目犍连,shen'tong'jie'ru'da'mu'jian'lian
神通威德,shen'tong'wei'de
神通已达,shen'tong'yi'da
神通自在,shen'tong'zi'zai
甚为大德,shen'wei'da'de
身无差别愿,shen'wu'cha'bie'yuan
身悉金色愿,shen'xi'jin'se'yuan
身相光明,shen'xiang'guang'ming
身心不正,shen'xin'bu'zheng
身心摧碎,shen'xin'cui'sui
身心洁净,shen'xin'jie'jing
身心净洁,shen'xin'jing'jie
身心清净,shen'xin'qing'jing
身心柔软,shen'xin'rou'ruan
神形苦极,shen'xing'ku'ji
身行所作,shen'xing'suo'zuo
身意柔软,shen'yi'rou'ruan
甚于父母念子,shen'yu'fu'mu'nian'zi
身愚神暗,shen'yu'shen'an
神智洞达,shen'zhi'dong'da
深著世乐,shen'zhu'shi'le
身自当之,shen'zi'dang'zhi
深自悔责,shen'zi'hui'ze
神足通愿,shen'zu'tong'yuan
生安乐国,sheng'an'le'guo
生宝刹中,sheng'bao'cha'zhong
生彼边地,sheng'bi'bian'di
生彼佛国,sheng'bi'fo'guo
生彼国土,sheng'bi'guo'tu
生彼国中,sheng'bi'guo'zhong
升灌顶阶,sheng'guan'ding'jie
生老病死众苦恼,sheng'lao'bing'si'zhong'ku'nao
胜力佛刹,sheng'li'fo'sha
生身烦恼,sheng'shen'fan'nao
生生之处,sheng'sheng'zhi'chu
生时苦痛,sheng'shi'ku'tong
生死不休,sheng'si'bu'xiu
声闻,sheng'wen
声闻菩萨,sheng'wen'pu'sa
声闻圣众,sheng'wen'sheng'zhong
声闻无数愿,sheng'wen'wu'shu'yuan
声闻亿劫思佛智,sheng'wen'yi'jie'si'fo'zhi
声闻之众,sheng'wen'zhi'zhong
生我国者,sheng'wo'guo'zhe
升无为之安,sheng'wu'wei'zhi'an
生希有心,sheng'xi'you'xin
圣贤共住,sheng'xian'gong'zhu
胜于供养一天下阿罗汉,sheng'yu'gong'yang'yi'tian'xia'a'luo'han
胜于日月之明,sheng'yu'ri'yue'zhi'ming
胜于日月之明千万亿倍,sheng'yu'ri'yue'zhi'ming'qian'wan'yi'bei
胜于他方诸佛国中,sheng'yu'ta'fang'zhu'fo'guo'zhong
胜在无量寿国为善百岁,sheng'zai'wu'liang'shou'guo'wei'shan'bai'sui
生尊贵家,sheng'zun'gui'jia
誓不成等觉,shi'bu'cheng'deng'jue
十不痴,shi'bu'chi
是大海水,shi'da'hai'shui
实当念佛,shi'dang'nian'fo
适得其中,shi'de'qi'zhong
十方佛刹诸菩萨众,shi'fang'fo'sha'zhu'pu'sa'zhong
十方佛赞第二十三,shi'fang'fo'zan'di'er'shi'san
十方来正士,shi'fang'lai'zheng'shi
十方世界,shi'fang'shi'jie
十方世界善多恶少,shi'fang'shi'jie'shan'duo'e'shao
十方世界声闻,shi'fang'shi'jie'sheng'wen
十方世界无量刹中,shi'fang'shi'jie'wu'liang'sha'zhong
十方世界音声之中,shi'fang'shi'jie'yin'sheng'zhi'zhong
十方世界诸菩萨众,shi'fang'shi'jie'zhu'pu'sa'zhong
十方世界诸天人民,shi'fang'shi'jie'zhu'tian'ren'min
十方世界诸往生者,shi'fang'shi'jie'zhu'wang'sheng'zhe
十方世界诸众生类,shi'fang'shi'jie'zhu'zhong'sheng'lei
十方无量无数不可思议,shi'fang'wu'liang'wu'shu'bu'ke'si'yi
十方众生,shi'fang'zhong'sheng
十方诸佛,shi'fang'zhu'fo
示福田,shi'fu'tian
是故,shi'gu
是故阿难,shi'gu'a'nan
是故彼国,shi'gu'bi'guo
是故博闻诸智士,shi'gu'bo'wen'zhu'zhi'shi
是故告汝天人世间,shi'gu'gao'ru'tian'ren'shi'jian
是故汝等应求此法,shi'gu'ru'deng'ying'qiu'ci'fa
是故无量寿佛,shi'gu'wu'liang'shou'fo
是故应当专心信受,shi'gu'ying'dang'zhuan'xin'xin'shou
是故于彼谓之胎生,shi'gu'yu'bi'wei'zhi'tai'sheng
时会一切众,shi'hui'yi'qie'zhong
释迦如来,shi'jia'ru'lai
世间解,shi'jian'jie
世间人民,shi'jian'ren'min
世间人民不念修善,shi'jian'ren'min'bu'nian'xiu'shan
世间人民不顺法度,shi'jian'ren'min'bu'shun'fa'du
世间人民徙倚懈怠,shi'jian'ren'min'xi'yi'xie'dai
世间人民相因寄生,shi'jian'ren'min'xiang'yin'ji'sheng
世间善男子,shi'jian'shan'nan'zi
